"distance.p1_30_a","instensity.p1_30_a","distance.p2_30_a","instensity.p2_30_a","distance.p3_atyp1","instensity.p3_atyp1","distance.p4_atyp2","instensity.p4_atyp2"
25.787,164.889,25.356,171.139,26.993,156.694,27.545,16.833
25.872,167.25,25.439,171.097,27.082,154.903,27.636,16.833
25.957,167.361,25.523,171.486,27.171,153,27.727,16.569
26.043,165.125,25.607,170.375,27.261,152.042,27.818,16.556
26.128,162.653,25.69,172.403,27.35,157.625,27.909,17.333
26.213,163.069,25.774,174.417,27.439,165.708,28,17.681
26.298,166.681,25.858,174.333,27.528,167.792,28.091,17.5
26.383,170.597,25.941,171.194,27.617,163.958,28.182,17.139
26.468,172.194,26.025,170.014,27.706,157.028,28.273,17.625
26.553,169.722,26.109,171.083,27.795,151.847,28.364,18.278
26.638,168.764,26.192,171.264,27.884,149.111,28.455,18.056
26.723,168.25,26.276,170.361,27.973,143.014,28.545,18
26.809,169.722,26.36,172.431,28.062,147.028,28.636,18.014
26.894,171.931,26.444,174.931,28.151,153.75,28.727,18.486
26.979,172.75,26.527,175.694,28.241,158.111,28.818,18.792
27.064,172.417,26.611,176.639,28.33,163.125,28.909,18.833
27.149,173.458,26.695,177.097,28.419,167.847,29,19.056
27.234,175.944,26.778,174.667,28.508,167.208,29.091,19.194
27.319,176.528,26.862,171.958,28.597,163.931,29.182,19.417
27.404,174.514,26.946,171.472,28.686,161.861,29.273,19.264
27.489,171.667,27.029,170.944,28.775,157.653,29.364,19.389
27.574,167.861,27.113,167.181,28.864,145.417,29.455,19.625
27.66,170.028,27.197,164.069,28.953,138.819,29.545,19.736
27.745,173.653,27.28,167.403,29.042,135.375,29.636,19.264
27.83,174.097,27.364,170.75,29.131,139.431,29.727,18.903
27.915,174.125,27.448,172.653,29.22,143.625,29.818,18.625
28,175.708,27.531,175.042,29.31,149.444,29.909,19.403
28.085,176.056,27.615,173.819,29.399,153.722,30,19.403
28.17,177.292,27.699,169.708,29.488,156.194,30.091,18.819
28.255,175.861,27.782,167.611,29.577,154.708,30.182,18.958
28.34,176.167,27.866,167.153,29.666,154.931,30.273,19.167
28.426,175.292,27.95,167.194,29.755,156.514,30.364,19.361
28.511,173.847,28.033,167.611,29.844,159.875,30.455,19.347
28.596,172.667,28.117,170.806,29.933,158.306,30.545,19.389
28.681,175.722,28.201,172.583,30.022,157.153,30.636,19.5
28.766,178.25,28.285,171.431,30.111,156,30.727,19.694
28.851,179.111,28.368,171.153,30.2,153.389,30.818,19.875
28.936,180.347,28.452,170.153,30.29,153.681,30.909,19.778
29.021,180.903,28.536,167.806,30.379,154.639,31,19.903
29.106,181.667,28.619,167.569,30.468,155.861,31.091,19.972
29.191,180.514,28.703,167.028,30.557,153.903,31.182,20.111
29.277,179.014,28.787,168.042,30.646,152.986,31.273,20.153
29.362,177.097,28.87,168.986,30.735,148.639,31.364,20.236
29.447,174.75,28.954,165.514,30.824,143.458,31.455,20.417
29.532,172.347,29.038,162.444,30.913,139.306,31.545,20.708
